schooldistance,address,schoolrating
0.3,12617 Capella Trl,10
0.5,13301 Bright Sky Overlook,10
1.8,12229 Long Bay Cv,10
0.6,12929 Zen Gardens Way,10
0.4,2604 Rio Mesa Dr,10
0.6,12317 Fairway Cv,10
3.0,13237 Villa Montana Way,9
1.7,Travis View Loop,10
0.4,12829 Lantana Ridge Ct,10
1.0,13601 Montview Dr,10
1.8,14423 Agarita Rd,9
1.4,4748 Eck Ln,9
2.6,5931 Hiline Rd # 1203,9
2.4,532 Ladin Ln,10
1.9,329 Marina Village Cv # 329,10
1.2,104 St Lucia,10
1.2,104 St Lucia,10
0.9,2636 Crazyhorse Pass,9
1.3,14809 Foy Dr,9
1.1,3001 Spotted Wolf Trl,9
3.5,116 Evolutions Path,9
0.5,2600 Ranch Road 620 N,9
1.2,101 St Lucia,10
1.7,116 Royal Oak Ln,10
1.3,1903 Moeta Dr,9
2.8,27 Stone Terrace Dr # 15,9
2.6,5931 Hiline Rd # 1203,9
2.5,Murfin Rd,9
0.9,16010 Fontaine Ave,9
1.2,102 Largo Cv,10
1.0,205 Canyon Turn Trl,10
1.2,804 Rough Hollow Dr,10
1.5,14006 Saskatchewan Dr,9
0.5,16206 Sydney Carol Ln,9
1.1,14503 Running Deer Trl,9
1.0,14403 Cochise Trl,9
2.6,5931 Hiline Rd # 1302,9
1.0,4000 Ranch Road 620 N # 19,9
1.0,513 Flamingo Blvd,10
1.2,104 Largo Cv,10
2.6,5931 Hiline Rd # 1203,9
2.4,1221 Challenger,10
1.1,233 Canyon Turn Trl,10
2.6,105 Oak Glen Cv,10
1.2,416 Marina View Way,10
1.5,5101 Timothy Cir,9
1.2,408 Marina View Way,10
2.0,17176 Rocky Ridge Rd # B,9
0.6,14814 Broken Bow Trl,9
3.0,609 River Rd,9
1.7,221 Stowaway Cv APT A,10
2.5,105 Crescent Blf,10
0.5,16204 Sydney Carol Ln,9
1.4,24 Water Front Ave,10
2.6,5931 Hiline Rd # 1203,9
0.2,611 Rolling Green Dr,10
0.6,101 Rivalto Cir APT 2,10
1.9,15908 Allenwood Dr,9
1.1,427 Seawind,10
2.6,5931 Hiline Rd # 1203,9
1.2,306 Martinique Pass,10
2.6,5931 Hiline Rd # 1201,9
1.2,310 Marina View Ct,10
1.8,915 Electra,10
1.5,710 Sunfish St,10
1.7,5302 Lake Mist,9
1.1,526 Dragon,10
0.2,2918 Ranch Road 620 N APT 290,9
2.2,104 Rupen Dr,10
1.3,3201 Brass Buttons Trl,9
1.1,2000 Red Fox Rd,9
2.0,109 Bellagio Dr,9
2.0,5802 Beacon Dr,9
1.2,103 Barbuda Dr,10
1.9,135 Roberto # 11B,9
1.2,Windy Harbor Dr,9
1.9,15103 Falcon Dr,9
1.2,310 Marina View Ct,10
2.6,5931 Hiline Rd # 1203,9
2.2,103 Golf Crest Cv,10
2.6,5931 Hiline Rd # 1302,9
1.9,108 Squires Dr,10
0.2,2918 Ranch Road 620 N APT 165,9
2.6,5931 Hiline Rd # 1302,9
1.5,710 Bermuda,10
1.7,832 San Remo Blvd,9
3.5,15317 Glen Heather Dr # 904,9
1.8,309 Lombardia Dr,9
1.7,13803 Wild Turkey Pass,9
2.9,1022 Barrie Dr,9
0.2,2918 Ranch Road 620 N APT 103,9
2.6,120 Betula Dr,10
2.2,102 Plum Dr,10
1.2,308 Marina View Ct,10
2.3,325 Hurst Creek Rd,10
1.5,16326 Lake Loop,9
2.4,1232 Challenger,10
0.7,115 Feritti Dr,10
1.3,14503 Blue Jay Pt,9
0.7,16008 Chateau Ave,9
2.5,103 Chestnut Hill Cv,10
1.8,16430 Clara Van St,9
2.6,5931 Hiline Rd # 1203,9
1.8,16901 S Ridge Ln,9
1.1,436 Eagle,10
1.3,16012 Thunder Trl,9
3.0,1302 Hurst Holw,10
0.9,14804 Running Deer Trl,9
1.8,914 Electra,10
1.6,724 Bermuda,10
1.9,210 Bellagio Dr,9
1.9,928 Challenger,10
2.6,304 Clubhouse Dr,10
2.3,101 Firebird Cv,10
2.6,5931 Hiline Rd # 1201,9
1.9,5708 Beacon Dr,9
0.2,2918 Ranch Road 620 N APT 103,9
2.2,412 Hazeltine Dr,10
2.0,114 Clubhouse Dr,10
2.0,16025 Pool Canyon Rd,9
2.3,1202 Challenger,10
1.7,801 San Remo Blvd,9
2.1,308 Hazeltine Dr,10
2.3,16009 Edwards Dr,9
1.2,2903 Buffalo Trl,9
3.4,112 Perpetuation Dr,9
0.7,102 Lido St,10
2.3,505 Hummingbird Ln,9
0.6,131 Crest View Dr,10
1.3,4609 Eck Ln,9
2.4,111 Edgewater Cv,10
1.1,3909 Lago Vista Dr,9
1.1,11 Chandon Ln,10
2.6,5931 Hiline Rd # 1203,9
0.9,16110 Chateau Ave,9
1.1,2401 White Dove Pass,9
0.7,102 Lido,10
2.2,204 Hazeltine Dr,10
2.6,5931 Hiline Rd # 1302,9
3.2,1406 Hurst Creek Rd,10
2.6,501 Brooks Hollow Rd,10
0.2,609 Rolling Green Dr,10
1.2,4605 Eck Ln,9
1.9,104 Rocket St,10
2.3,W Beach Rd,9
2.6,5931 Hiline Rd # 1302,9
1.2,4500 Lago Viento,9
2.0,107 Harbor Hill Dr,9
2.6,5931 Hiline Rd # 1203,9
2.6,5931 Hiline Rd # 1203,9
2.6,5931 Hiline Rd # 1203,9
2.2,103 Paragon Ct,10
1.0,413 Rough Hollow Cv,10
0.7,3904 Hudson Bend Rd APT C,9
1.8,210 Marina Village Cv,10
0.7,2603 Indian Creek Rd,9
1.4,15706 Awalt Dr,9
1.9,312 Marina Village Cv # 312,10
1.7,805 Bermuda,10
1.9,329 Marina Village Cv # 329,10
1.4,4539 Lago Viento,9
1.0,411 Rough Hollow Cv,10
2.1,330 Explorer,10
2.5,142 Acapulco Dr,10
1.3,404 Marina View Way,9
3.5,214 Darwins Way,9
1.2,3207 Brass Buttons Trl,9
1.1,412 Marina View Way,10
3.5,110 Evolutions Path,9
3.5,112 Evolutions Path,9
1.9,425 Marina Village Cv # 425,10
1.4,207 Fairlake Cir,10
3.5,106 Evolutions Path,9
0.8,412 Belforte Ave,10
1.4,420 Lindale Cv,10
1.3,206 Bella Cima Dr,9
1.3,101 Far Vela Ln,10
1.7,5248 Mccormick Mountain Dr,9
1.1,215 Canyon Turn Trl,10
3.5,213 Darwins Way,9
1.2,2711 Geronimo Trl,9
3.5,204 Darwins Way,9
1.1,2305 White Dove Pass,9
3.5,108 Evolutions Path,9
3.5,208 Darwins Way,9
0.7,4000 Javelina Cir,9
1.8,129 Marina Village Cv # 129,10
3.2,15306 Hawk St,9
1.4,206 Gannet Cv,10
3.5,204 Darwins Way,9
2.5,16658 Forest Way,9
1.4,420 Lindale Cv,10
1.4,24 Water Front Ave,10
2.0,Harbor Hill Dr,9
0.7,110 Flying Scot St,10
3.5,206 Darwins Way,9
2.3,1215 Challenger,10
3.5,210 Darwins Way,9
0.5,103 Cold Water Ln,10
2.2,203 Palazza Alto Dr,9
0.7,15909 Chateau Ave,9
2.3,15202 Canary St,9
2.6,15204 Barrie Dr,9
0.9,2673 Crazyhorse Pass,9
2.0,17221 Rocky Ridge Rd,9
2.6,603 Hurst Creek Rd,10
1.3,205 Bella Cima Dr,9
3.5,214 Darwins Way,9
0.9,217 Lido St # O-2,10
3.0,1205 Brooks Hollow Rd,10
3.5,118 Evolutions Path,9
2.6,5931 Hiline Rd # 1201,9
1.5,16207 Spring Branch Trl,9
3.0,1213 Delsie Dr APT B,9
1.0,209 Canyon Turn Trl,10
1.3,14107 Running Deer Trl,9
1.9,Clara Van St,9
1.6,15204 Bowling Ln,9
1.0,221 Bella Riva Dr,9
2.2,508 Copperleaf Rd,10
2.5,302 Lago Verde Rd,9
0.9,18 Stoney Creek Cv,10
0.9,4215 Laguna Grande,9
2.3,6009 Laguna Cliff Ln,9
2.8,73 White Magnolia Cir,9
1.5,5004 Mcintyre Cir,9
2.9,1010 Hurst Creek Rd,10
0.9,1010 S Quinlan Park Rd APT 4,10
1.2,104 Aruba Ct,10
0.7,102 Scamper Cv,10
2.0,210 Montalcino Blvd,9
1.3,13003 River Bnd,10
0.6,224 Emerald Ridge Dr,10
1.0,13406 Montview Dr,10
4.1,Comanche Trl,9
1.7,1613 Lakecliff Hills Ln,10
0.9,1010 S Quinlan Park Rd APT 5,10
0.9,1010 S Quinlan Park Rd APT 5,10
1.8,12220 Long Bay Cv,10
0.6,12309 Fairway Cv,10
3.9,13808 Lake View Dr,9
1.9,11504 Eagles Glen Dr,10
0.4,12316 Montclair Bnd,10
0.5,801 Lakewood Hills Ter,10
0.9,3200 Summer Canyon Dr,10
1.9,2624 University Club Dr,10
0.8,13001 Perryton Dr,10
4.2,14016 Skyline Dr,9
0.4,12821 Capella Trl,10
0.7,12812 Arbor Lake Cv,10
0.3,113 Dawn River Cv,10
0.5,13401 Coleto Creek Trl,10
0.4,2739 Grimes Ranch Rd,10
2.2,12886 Park Dr,10
0.2,424 Dawn River Cv,10
0.6,12317 Fairway Cv,10
0.3,2213 Rio Mesa Dr,10
0.3,12816 Capella Trl,10
1.1,1120 Shore Vista Cv,10
3.8,7101 Mountain Trl,9
3.0,6924 Cielo Azul Pass,9
0.9,1115 Terjo Ln,10
1.1,1302 Summit Edge Dr,10
0.2,300 Dawn River Cv,10
1.9,1905 Holiday Hills Cv,10
0.5,721 Lakewood Hills Ter,10
0.9,1010 S Quinlan Park Rd APT 5,10
4.7,14513 Ridgetop Ter,9
1.4,1412 Hawks Canyon Cir,10
1.7,11804 Eagles Glen Dr,10
0.8,11808 Palisades Pkwy,10
1.5,2112 University Club Dr,10
1.6,2210 University Club Dr UNIT 5B,10
3.9,13901 Panorama Dr,9
2.9,13217 Villa Montana Way,9
0.4,308 Mediterra Pt,10
0.5,13225 Country Trails Ln,10
1.7,13101 Indigo Cv,10
4.0,14008 Panorama Dr # 1,9
1.2,3812 Mira Vista Dr,10
4.2,7104 Comanche Trl,9
0.8,3304 Grimes Ranch Rd,10
0.4,11916 Montclair Bnd,10
0.5,2925 Persimmon Valley Trl,10
1.4,1804 University Club Dr,10
4.1,14007 Lake View Dr,9
1.1,1203 River Ridge Dr,10
1.2,409 Teal,10
1.0,13408 Montview Dr,10
0.1,12924 Appaloosa Chase Dr,10
1.2,104 St Lucia,10
0.6,14808 Flat Top Ranch Rd,10
1.0,4317 Lakeway Blvd,10
0.8,2303 Quanah Parker Trl,9
1.4,14702 Hornsby Hill Rd,9
1.2,104 St Lucia,10
0.7,14710 General Williamson Dr,9
1.9,15004 Nightingale Ln,9
2.0,101 Rocket St,10
1.4,709 Mariner,10
2.4,507 Explorer,10
2.2,120 Firebird St,10
0.5,Pyramid Dr,9
3.5,116 Evolutions Path,9
2.0,210 Meadowlark St S,9
3.5,114 Evolutions Path,9
1.2,104 St Lucia,10
1.2,104 St Lucia,10
3.4,114 Perpetuation Dr,9
0.5,16204 Sydney Carol Ln,9
0.9,3401 Grimes Ranch Rd,10
2.0,111 Bellagio Dr,9
0.3,13013 Bloomfield Hills Ln,10
1.2,104 St Lucia,10
1.3,1321 Hawks Canyon Cir,10
1.2,12016 Portofino Dr,10
0.5,2948 Grimes Ranch Rd,10
1.2,104 St Lucia,10
1.2,404 Seawind,10
1.2,14253 Hunters Pass,9
1.8,100 Meadowlark St,9
1.2,14950 Running Deer Trl,9
1.2,104 St Lucia,10
0.7,1617 Sun Valley Ct,10
2.2,315 Hurst Creek Rd,10
0.5,16204 Sydney Carol Ln,9
1.0,14532 Hunters Pass,9
2.7,703 Hurst Creek Rd,10
1.0,2208 Red Fox Rd,9
2.2,5800 Laguna Cliff Ln,9
0.5,16204 Sydney Carol Ln,9
1.8,15604 Cedar Ledge St,9
2.2,104 Rupen Dr,10
3.0,4460 Stearns Ln,9
1.3,102 Caicos Cv,10
3.4,8212 Barton Club Dr # 12-10,9
3.2,3900 Verano Dr,9
3.1,8801 Golden Rain Cv,9
0.4,510 Rolling Green Dr,10
3.3,9301 Old Bee Caves Rd,9
3.4,8212 Barton Club Dr # 12-10,9
3.4,8212 Barton Club Dr # 1/1,9
3.4,8212 Barton Club Dr # 12-10,9
1.9,8302 Cedar Elm Trl # 27,9
3.4,8212 Barton Club Dr # 12-10,9
3.5,1505 Mesa Ridge Ln,9
3.6,1920 Chalk Rock Cv,9
2.0,5604 Medicine Creek Dr,9
1.1,7619 Evening Sky Cir # G-15,9
4.2,1200 Barton Creek Blvd APT 22,9
3.1,8609 Navidad Dr,9
3.3,2300 Barton Creek Blvd APT 2,9
1.0,5700 Journeyville Ct,9
3.4,9600 Veletta Pl,9
1.6,7800 Southwest Pkwy UNIT 2011,9
3.1,3905 Verano Dr,9
2.1,4703 Mesa Oaks Cir,9
1.9,4609 Peralta Ln,9
1.0,7308 Journeyville Dr,9
1.7,5917 Maurys Trl,9
4.4,8306 Long Canyon Dr,10
1.0,4916 China Garden Dr,9
1.6,4509 Court Of St James,9
3.6,7101 Greenshores Dr,10
4.3,8110 Ranch Road 2222 APT 12,10
1.9,8808 Westminster Glen Ave,9
2.0,4101 Prince Andrew Ln,9
1.7,4102 River Place Blvd,9
1.9,9529 Big View Dr,9
0.9,5208 Anaconda Ln,9
4.7,8507 Cuesta Ct,10
0.3,6214 River Place Blvd,9
0.3,10208 Milky Way Dr,9
4.8,1603 Manana St,10
2.8,6000 Shepherd Mountain Cv APT 917,10
1.7,5700 Standing Rock Dr,9
1.0,10115 Treasure Island Dr,9
0.8,10500 Crow Wing Cv,9
3.9,3712 Pappys Way,10
4.0,3806 Pearce Rd,10
1.6,9208 Westminster Glen Ave,9
4.9,1501 Manana St,10
2.3,3704 Weatherhill Cv,9
3.6,3603 Robbins Rd,10
3.1,7904 Big View Dr,9
4.1,6300 Fern Spring Cv,10
4.3,8110 Ranch Road 2222 APT 44,10
0.3,10208 Milky Way Dr,9
2.8,6000 Shepherd Mountain Cv UNIT 414,10
1.3,9623 Woody Ridge Vw,9
1.6,9312 Prince William,9
0.4,10828 Enclave Vista Cv,9
1.9,9809 Glenlake Dr,9
2.8,6000 Shepherd Mountain Cv,10
3.8,5525 City Park Rd APT 1,10
1.1,9400 Leaning Rock Cir,9
0.7,11203 Ranch Road 2222 APT 1502,9
4.3,8110 Ranch Road 2222 APT 44,10
4.3,8110 Ranch Road 2222 APT 44,10
4.3,8110 Ranch Road 2222 APT 36,10
4.3,8110 Ranch Road 2222 APT 44,10
2.8,6000 Shepherd Mountain Cv APT 1205,10
4.1,3312 Pearce Rd,10
4.3,6734 Cuesta Trl,10
0.7,13001 Hymeadow Dr UNIT 8,7
4.3,(Undisclosed Address),10
4.0,7416 Oak Shores Dr,10
0.7,13001 Hymeadow Dr UNIT 8,7
0.7,13001 Hymeadow Dr UNIT 8,7
0.9,7525 Peabody Dr,9
0.9,13400 Briarwick Dr UNIT 2801,7
1.8,13103 Lubbock Ln,7
0.7,13001 Hymeadow Dr UNIT 8,7
0.4,12401 Los Indios Trl UNIT 1,9
1.4,7016 Buccaneer Trl,7
0.8,8808 White Ibis Dr,7
0.6,8518 Cahill Dr APT 3,7
0.3,12930 Modena Trl,9
0.8,13400 Briarwick Dr UNIT 1103,7
0.2,13420 Lyndhurst St APT 505,7
0.9,13910 Ranch Road 620 N,7
0.9,13910 Ranch Road 620 N,7
0.4,8710 Piney Point Dr # B,7
0.8,13700 Sage Grouse Dr UNIT 201,7
1.1,12507 Shasta Ln,7
0.6,13223 Tamayo Dr,9
0.3,8010 Elkhorn Mountain Trl,9
0.9,17300 Sage Grouse #2201,7
0.6,7412 Napier Trl,9
0.1,12712 Margit Dr,9
0.1,13508 Broadmeade Ave,7
0.8,13700 Sage Grouse Dr UNIT 201,7
1.5,13233 Kerrville Folkway,7
0.3,13700 Grouse Sage Dr # 1802,7
1.8,13105 New Boston Bnd,7
0.9,13447 Athens Trl,9
0.2,12504 Oro Valley Trl,9
0.2,12507 Cortaro Cv,9
0.5,7803 Jenner Cv,9
0.8,13412 Athens Trl,9
0.4,8304 Canola Bnd,7
0.9,13400 Briarwick Dr UNIT 2801,7
1.8,13114 Marble Falls Cv,7
0.7,13001 Hymeadow Dr UNIT 8,7
0.9,13700 Sage Grouse Dr UNIT 3101,7
0.8,13700 Sage Grouse Dr UNIT 201,7
0.8,13700 Sage Grouse Dr UNIT 201,7
0.7,13324 Humphrey Dr,9
0.8,13700 Sage Grouse Dr UNIT 201,7
0.7,13001 Hymeadow Dr UNIT 34,7
0.4,7503 Lobelia Dr,9
1.4,13265 Kerrville Folkway,7
0.8,13700 Sage Grouse Dr UNIT 201,7
0.8,13700 Sage Grouse Dr UNIT 201,7
0.8,13700 Sage Grouse Dr UNIT 201,7
0.3,13700 Sage Grouse Dr # 3002,7
0.4,13405 Briar Hollow Dr,7
1.6,13212 Kerrville Folkway,7
0.6,12300 Abney Dr # 51-B,7
0.7,13306 Black Canyon Dr,9
0.2,12504 Cortaro Cv,9
0.9,13910 Ranch Road 620 N,7
0.5,13016 Hunters Chase Dr,7
0.9,13910 Ranch Road 620 N,7
0.2,8005 Buckshot Trl,9
0.6,13209 Marrero Dr,9
0.6,7708 San Felipe Blvd APT 39,9
0.7,7603 Montaque Dr,9
1.6,13204 Dime Box Trl,7
0.6,7708 San Felipe Blvd APT 43,9
0.9,13910 Ranch Road 620 N,7
0.3,12405 Hunters Chase Dr,9
0.9,13910 Ranch Road 620 N,7
6.1,2206 Emmett Pkwy,7
0.7,14847 Bescott Dr,7
2.4,3618 Kennedy Grace Ln,7
2.4,3618 Kennedy Grace Ln,7
0.8,14921 Purslane Meadow Trl,7
1.4,Patricia St,7
0.6,2107 Taylor Simonetti Ave,7
2.4,3618 Kennedy Grace Ln,7
2.4,3618 Kennedy Grace Ln,7
5.7,2203 Maple Hollow Trl,7
1.2,15309 Brenda St,7
0.3,14308 Terisu Ln,7
2.4,3618 Kennedy Grace Ln,7
0.6,1904 Crystal Shore Dr,7
0.2,14200 Terisu Ln,7
3.5,14608 Noya Dr,7
0.7,2004 Cervin Blvd,7
2.9,15408 Quinley Dr,7
2.9,15308 Ecorio Dr,7
5.9,2203 Waterway Bnd,7
2.4,3618 Kennedy Grace Ln,7
3.6,2806 Single Trace Ct,7
4.4,4517 Felicity Ln,4
2.9,15424 Quinley Dr,7
4.4,4611 Belfield Ln,4
4.4,4611 Belfield Ln,4
4.4,15104 Guffey Dr,4
4.3,4503 Halliday Ave,4
4.2,15201 Lucian St,4
0.7,4604 Sherwyn Dr,3
4.2,15004 Parrish Ln,4
4.4,4611 Belfield Ln,4
4.4,4611 Belfield Ln,4
4.4,15104 Guffey Dr,4
4.4,4611 Belfield Ln,4
4.4,4611 Belfield Ln,4
4.4,4611 Belfield Ln,4
4.4,4611 Belfield Ln,4
4.5,4606 Best Way,4
4.4,15104 Guffey Dr,4
2.7,11917 Aitne Ln,4
3.2,2802 Caleb Dr,4
0.5,10700 Bramblecrest Dr,10
4.5,4715 Castleman Dr,4
0.3,9918 Barbrook Dr,10
1.1,11109 Conchos Trl,10
0.6,10917 Hidden Caves Way # 31,9
1.2,11129 Zimmerman Ln,9
2.5,12505 Alberta Ridge Trl,9
2.3,8119 Tahoe Parke Cir,9
3.5,13513 Bullick Hollow Rd,9
2.6,12517 Verandah Ct,9
0.1,10233 Ember Glen Dr,10
2.6,8412 Denali Pkwy UNIT 1,9
2.2,9009 N Fm 620,9
4.1,4101 Sojourner St,4
1.2,11137 Zimmerman Ln,9
0.4,11012 Montesa Dr,10
2.2,12101 Terraza Cir,9
2.2,Antler Ln,9
0.4,9610 Indigo Brush Dr,10
0.7,11008 Twisted Elm Dr,9
2.3,9105 Villa Norte Dr # VH16,9
2.6,9804 N Ranch Road 620,9
2.2,9550 Savannah Ridge Dr UNIT 19,9
0.7,11102 Twisted Elm Dr,9
0.4,11206 Tanya Trl,10
0.2,11213 Appletree Ln,10
0.4,10517 Canyon Vista Way,10
0.4,5315 Downs Dr # SR,3
0.6,1150 Gunter St,3
0.5,1806 Celeste Cir,3
0.1,5206 Ledesma Rd,8
0.7,1604 Greenwood Ave,3
0.4,5312 Downs,3
0.5,1193 E M Franklin Ave,3
0.3,5109 Lott Ave,3
0.3,1302 Luna St,3
0.5,3601 E 12th St,3
0.6,5114 Heflin Ln,3
0.2,4706 Louis Ave,3
0.2,5607 Samuel Huston Ave,3
0.6,1239 Eleanor St,3
0.2,1154 Nickols Ave,3
0.4,1807 Rhodes Rd,3
0.3,5308 Downs Dr # B,8
0.5,1709 Perez St,3
0.7,1310 Greenwood Ave,3
0.4,1407 Deloney St,3
0.4,1611 Meander Dr,3
0.5,1310 Delano St,3
0.2,4504 Leslie Ave,3
0.2,4700 Leslie Ave,3
0.5,1700 Perez St,3
0.2,5409 Prock Ln,8
0.2,5201 Star Light Ter,8
0.5,1144 Gunter St,3
0.5,1144 Gunter St,3
0.5,1144 Gunter St,3
0.5,1101 Saucedo St,3
0.2,(Undisclosed Address),3
0.1,4605 E 12th St,3
0.2,4411 Leslie Ave,3
0.5,1144 Gunter St,3
0.3,4804 Ledesma Rd For Rent,8
0.7,3401 Pennsylvania Ave,3
0.5,1144 Gunter St # 402,3
0.2,1104 Mason Ave,8
0.5,1812 Adina St,3
0.6,1316 Delano St #1,3
0.5,1705A Perez St,3
0.1,1121 Estes Ave # D,8
0.3,1130 Spur St # D,8
0.5,4305 Scottsdale Rd,3
0.4,5303 Downs Dr,3
0.3,5604 Ledesma Rd,8
0.3,1706 Victoria Dr,3
0.2,1151 Nickols Ave,3
0.4,1806 J J Seabrook Dr,3
0.7,8402 Mayview Dr,4
1.9,5329 Agatha Cir,9
3.0,9417 China Rose Dr,9
1.5,6212 Seville Dr,9
0.6,8207 View Ridge Dr,4
1.2,6903 Aries Ln,9
2.1,7601 Daffan Ln TRLR 8,9
1.6,5909 Alsace Trl,9
0.3,7101 Boyle,3
0.3,7016 Boyle,3
1.1,7502 Lazy Creek Dr,3
1.7,5825 Pinon Vista Dr,9
1.6,6137 Seville Dr,9
0.4,7204 Hillcroft Dr,4
0.5,7323 Muffin Dr,4
4.9,15709 Fm 969,4
0.3,7109 Boyle Dr,3
0.3,7113 Boyle Dr,3
0.3,7117 Boyle,3
1.5,6124 Seville Dr,9
0.3,7121 Boyle Dr,3
3.6,6016 Blue Bluff Rd,9
1.1,7301 Chisos Pass,3
2.9,9405 China Rose Dr,9
2.7,8913 Sun Shower Bnd,9
1.9,7309 Ava Ln,9
1.6,6209 Seville Dr,9
1.7,5909 Florencia Ln,9
1.5,6116 Seville Dr,9
5.1,13116 Breve Cv,4
1.8,6206 Dooley Trl # G-15,9
5.0,5504 Delta Post Dr,4
5.4,6015 Wideleaf Dr,4
1.1,11105 Conchos Trl,10
0.6,1135 Brookswood Ave #C,3
0.7,6804 Millrace Dr,3
2.2,1916 Petrified Forest Dr,6
1.2,3505 Autumn Bay Dr,6
1.3,5100 Suburban Dr,5
0.6,8907 Palace Pkwy,6
1.0,4515 Speedway,9
0.3,6100 Woodhue Dr # 0,5
0.4,2105 Rosewood Ave,10
1.0,2912 E 14th St # B,7
1.0,5006 Pecan Springs Rd # 18,5
0.7,6503 Hickman Ave,5
1.0,5002 Pecan Springs Rd # 5,5
0.7,1405 Corona Dr,5
1.0,5002 Pecan Springs Rd # 5,5
1.0,5006 Pecan Springs Rd # 18,5
1.0,4606 Bundyhill Dr,3
1.8,1912 E M Franklin Ave,7
0.5,5201 Knight Cir,5
0.7,2922 Pecan Springs Rd,5
1.0,5002 Pecan Springs Rd # 5,5
0.4,5416 Coventry Ln,5
1.6,2204 Palo Pinto Dr,7
0.9,4807 Russet Hill Dr,3
0.3,6705 Dubuque Ln,4
0.2,1903 Rogge Ln,5
0.9,6101 Adalee Ave,5
0.9,6115 Manor Rd # A,5
1.8,1909 E M Franklin Ave,7
0.9,3108 E 51st St # 1001,5
1.8,1919 E M Franklin Ave,7
0.7,1512 Glencrest Dr,5
1.8,1913 E M Franklin Ave,7
0.9,3108 E 51st St # 702,5
0.9,3108 E 51st St # 1001,5
0.9,3108 E 51st St # 1001,5
0.9,6301 Cameron Rd # A,5
0.2,6709 Tulane Dr,4
0.4,7210 Fred Morse Dr,4
1.8,1917 E M Franklin Ave,7
0.8,6300 Brookside Dr,5
0.1,1912 Running Brook Dr,5
0.8,6408 Auburn Dr,5
0.2,1905 Turtle Springs Ct,5
0.2,1905 Turtle Springs Ct,5
1.8,2102 E M Franklin Ave,7
1.8,2004 E M Franklin Ave,7
0.3,6808 Syracuse Cv Rent To Own,5
0.6,5603 Overbrook Dr,5
0.2,1905 Turtle Springs Ct,5
0.2,1909 Turtle Springs Ct,5
0.4,2203 E 51st St,5
1.2,4804 Springdale Rd,5
0.2,5361 Westminster Dr,5
0.7,5700 Gloucester Ln,5
0.8,6504 Bradley Dr,5
0.9,3108 E 51st St # 703,5
0.9,3108 E 51st St # 703,5
0.9,3108 E 51st St # 1001,5
0.3,6812 De Paul Cv,4
0.4,5807 Coventry Ln,5
1.2,4802 Springdale Rd,5
0.3,2700 Loyola Ln,4
0.9,6115 Manor Rd # A,5
1.0,6211 Manor Rd APT 116,5
0.9,3108 E 51st St # 1001,5
0.4,(Undisclosed Address),4
0.9,3039 Pecan Springs Rd,5
0.3,6804 La Salle Dr,4
0.3,5811 Wellington Dr,5
0.4,2203 E 51st St # B,5
1.0,6211 Manor Rd APT 116,5
0.9,3108 E 51st St # 1001,5
0.2,1905 Turtle Springs Ct,5
0.2,2607 Loyola Ln,4
0.7,6112 Hylawn Dr,4
0.6,5709 Sandhurst Cir,5
0.5,7203 Bucknell Dr,4
0.9,6709 Duquesne Dr,5
0.9,3108 E 51st St # 703,5
0.8,4703 Ruiz St,5
0.9,3108 E 51st St # 402,5
0.9,3108 E 51st St # 703,5
0.6,2512 Wheless Ln,5
1.2,4804 Springdale Rd,5
0.9,3108 E 51st St # 703,5
0.1,6802 Citadel Cv,4
0.6,1417 Ridgehaven Dr,5
0.9,6901 Mira Loma Ln,5
0.6,6300 Arnold Dr,4
0.7,6503 Hickman Ave,5
1.1,3202 Pecan Springs Rd # A,5
0.3,6904 Drexel Dr,4
0.3,6905 Creighton Ln,4
